title,text,category
Adam Levine,"Adam Noah Levine (/ləˈviːn/ lə-VEEN; born March 18, 1979) is an American musician who is the lead singer, rhythm guitarist and sole continuous member of the pop rock band Maroon 5.

Levine began his musical career in 1994 with the band Kara's Flowers, for which he served as lead vocalist and lead guitarist. After the commercial failure of their only album, The Fourth World, the group was reformed in 2001 as Maroon 5 – with James Valentine replacing him as lead guitarist. In 2002, they released their first album, Songs About Jane, which went multi-platinum in the US; since then, they have released six more albums: It Won't Be Soon Before Long (2007), Hands All Over (2010), Overexposed (2012), V (pronounced: ""five"") (2014), Red Pill Blues (2017), and Jordi (2021). As part of Maroon 5, Levine has received multiple accolades, including three Grammy Awards. As a solo artist, he achieved concurrent commercial success with his guest appearance on Gym Class Heroes' 2011 single ""Stereo Hearts"", which peaked within the top five of the Billboard Hot 100.

From 2011 to 2019, and again in 2025, Levine has been featured as a coach on NBC's reality talent show The Voice. The winners of multiple seasons (1, 5, and 9) belonged to his team. In 2012, Levine made his acting debut as the recurring character Leo Morrison in the second season of the television series American Horror Story. He also appeared in the films Begin Again (2013), Popstar: Never Stop Never Stopping (2016), Fun Mom Dinner and The Clapper (both 2017). Levine launched his eponymous fragrance line in 2013. The same year, he collaborated with Kmart and ShopYourWay.com to develop his menswear collection. He also owns a record label, 222 Records, and a production company, 222 Productions, which produced television shows Sugar and Songland. In 2013, The Hollywood Reporter reported that ""sources familiar with his many business dealings"" estimated Levine would earn more than $35 million that year.[4]",Male
Billy Joel,"William Martin Joel (born May 9, 1949) is an American singer, songwriter, and pianist. Nicknamed the ""Piano Man"" after his signature 1973 song of the same name,[4][5] Joel has had a successful career as a solo artist since the 1970s.

From 1971 to 1993, he released 12 studio albums spanning the genres of pop and rock, and in 2001 released a one-off studio album of classical compositions. With over 160 million records sold worldwide, Joel is one of the world's best-selling music artists[6] and is the fourth-best-selling solo artist in the United States.[7] His 1985 compilation album, Greatest Hits – Volume I & Volume II, is one of the best-selling albums in the United States.[8]

Joel was born in the Bronx in New York City and grew up in Hicksville on Long Island, where he began taking piano lessons at his mother's insistence. After dropping out of high school to pursue a music career, Joel took part in two short-lived bands, the Hassles and Attila, before signing a record deal with Family Productions and embarking on a solo career with his debut album, Cold Spring Harbor (1971). In 1972, Joel caught the attention of Columbia Records after a live radio performance of ""Captain Jack"" became popular in Philadelphia, prompting him to sign a new record deal with the company, through which he released his second album, Piano Man (1973). After Streetlife Serenade (1974) and Turnstiles (1976), Joel achieved his critical and commercial breakthrough with The Stranger (1977). It became Columbia's best-selling release, selling over 10 million copies and spawning the hit singles ""Just the Way You Are"", ""Movin' Out (Anthony's Song)"", ""Only the Good Die Young"", and ""She's Always a Woman"", as well as the concert staples ""Scenes from an Italian Restaurant"" and ""Vienna"".

Joel's 52nd Street (1978) was his first album to reach No. 1 on the Billboard 200. Glass Houses (1980) was an attempt to further establish himself as a rock artist; it featured ""It's Still Rock and Roll to Me"" (Joel's first single to top the Billboard Hot 100), ""You May Be Right"", ""Don't Ask Me Why"", and ""Sometimes a Fantasy"". The Nylon Curtain (1982) stemmed from a desire to create more lyrically and melodically ambitious music. An Innocent Man (1983) served as an homage to genres of music that Joel had grown up with in the 1950s, such as rhythm and blues and doo-wop; it featured ""Tell Her About It"", ""Uptown Girl"", and ""The Longest Time"", three of his best-known songs. After River of Dreams (1993), he largely retired from producing studio material, although he went on to release Fantasies & Delusions (2001), featuring classical compositions composed by him and performed by British-Korean pianist Richard Hyung-ki Joo. Joel provided voiceover work in 1988 for the Disney animated film Oliver & Company, performing the song ""Why Should I Worry?"", and contributed to the soundtracks to several films, including Easy Money (1983), Ruthless People (1986), and Honeymoon in Vegas (1992). Joel returned to composing new music with the 2024 single ""Turn the Lights Back On"".

Joel has had a successful touring career, holding live performances across the globe. In 1987, he became one of the first artists to hold a rock tour in the Soviet Union. Joel has had 33 Top 40 hits in the U.S.,[9] three of which (""It's Still Rock and Roll to Me"", ""Tell Her About It"", and ""We Didn't Start the Fire"") topped the Billboard Hot 100. He has been nominated for 23 Grammy Awards, winning 6, including Album of the Year for 52nd Street. Joel was inducted into the Songwriters Hall of Fame in 1992, the Rock and Roll Hall of Fame in 1999[10] and the Long Island Music Hall of Fame in 2006. He received the 2001 Johnny Mercer Award from the Songwriters Hall of Fame[11] and was recognized at the 2013 Kennedy Center Honors.[12]",Male
Bruno Mars,"Peter Gene Hernandez (born October 8, 1985), known professionally as Bruno Mars, is an American singer, songwriter, musician, and record producer. Regarded as a pop icon, he is known for his three-octave tenor vocal range, live performances, retro showmanship, and musical versatility. He is accompanied by his band, the Hooligans. Raised in Honolulu, Mars gained recognition in Hawaii as a child for his impersonation of Elvis Presley, before moving to Los Angeles in 2003 to pursue a musical career.

Mars established his name in the music industry as a songwriter and co-founder of the production team the Smeezingtons. He rose to fame as a recording artist after featuring on the US number-one single ""Nothin' on You"" (2009) by B.o.B. Mars' first three studio albums – Doo-Wops & Hooligans (2010), Unorthodox Jukebox (2012) and 24K Magic (2016) – found critical and commercial success, with the lattermost winning the Grammy Award for Album of the Year. The albums spawned multiple international hit singles, including ""Just the Way You Are"", ""Grenade"", ""The Lazy Song"", ""Locked Out of Heaven"", ""When I Was Your Man"", ""Treasure"", ""24K Magic"", ""That's What I Like"" and ""Finesse"". He also featured on Mark Ronson's 2014 single ""Uptown Funk"", which became Billboard's best-performing song of the 2010s.

Mars' success continued throughout the 2020s. In 2021, he formed the musical superduo Silk Sonic with Anderson .Paak, and they released the 1970s R&B-inspired album An Evening with Silk Sonic, which contained the US number-one single ""Leave the Door Open"". Mars' 2024 chart-topping duets ""Die with a Smile"" with Lady Gaga and ""Apt."" with Rosé spent a total of 30 weeks atop the Billboard Global 200.

Mars has sold over 150 million records worldwide and is one of the best-selling music artists of all time. He has scored nine Billboard Hot 100 number-one singles. His 24K Magic World Tour (2017–2018) ranks among the highest-grossing tours in history. Mars' accolades include 16 Grammy Awards (including 3 Records of the Year and 2 Songs of the Year), 4 Brit Awards, 14 American Music Awards, 13 Soul Train Awards and 8 Guinness World Records. He has been featured on Music Week's best-songwriters (2011) and Billboard's Greatest of All Time Artists (2019) lists, as well as the Time 100 and Forbes Celebrity 100 lists. Mars was the first artist with six RIAA diamond-certified songs and the first artist to surpass 150 million monthly listeners on Spotify.",Male
Ed Sheeran,"Edward Christopher Sheeran (/ˈʃɪərən/ SHEER-ən; born 17 February 1991) is an English singer-songwriter. Born in Halifax, West Yorkshire, and raised in Framlingham, Suffolk, he began writing songs around the age of eleven. In early 2011, Sheeran independently released the extended play No. 5 Collaborations Project. He signed with Asylum Records the same year.

Sheeran's debut album, + (""Plus""), was released in September 2011 and topped the UK Albums Chart. It contained his first hit single, ""The A Team"". In 2012, Sheeran won the Brit Awards for Best British Male Solo Artist and British Breakthrough Act. Sheeran's second studio album, × (""Multiply""), topped charts around the world upon its release in June 2014. It was named the second-best-selling album worldwide of 2015. In the same year, × won Album of the Year at the 2015 Brit Awards, and he received the Ivor Novello Award for Songwriter of the Year from the British Academy of Songwriters, Composers and Authors. A single from ×, ""Thinking Out Loud"", earned him the 2016 Grammy Awards for Song of the Year and Best Pop Solo Performance.

Sheeran's third album, ÷ (""Divide""), was released in March 2017, and was the best-selling album worldwide of 2017. The first two singles from the album, ""Shape of You"" and ""Castle on the Hill"", broke records in a number of countries by debuting in the top two positions of the charts. He also became the first artist to have two songs debut in the US top 10 in the same week. By March 2017, Sheeran had accumulated ten top-10 singles from ÷ on the UK Singles Chart, breaking the record for most top-10 UK singles from one album. His fourth single from ÷, ""Perfect"", reached number one in the US, Australia, and the UK, where it became the Christmas number one in 2017. The world's best-selling artist of 2017, he was named the Global Recording Artist of the Year. Released in 2019, his fourth overall and first collaborative album, No.6 Collaborations Project, debuted at number one in most major markets, and spawned three UK number one singles, ""I Don't Care"", ""Beautiful People"", and ""Take Me Back to London"". His fifth studio album, = (""Equals""), topped the charts in most major markets in 2021. His sixth album, − (""Subtract""), was released on 5 May 2023, while his seventh album, Autumn Variations, was released on 29 September 2023 under his own record label, Gingerbread Man Records.

Sheeran has sold 200 million records worldwide, making him one of the world's best-selling music artists.[2] He has 119 million RIAA-certified units in the US,[3] and two of his albums are in the list of the best-selling albums in UK chart history. In December 2019, the Official Charts Company named him artist of the decade, with the most combined success in the UK album and singles charts in the 2010s.[4] As of July 2024, he is the 3rd most followed artist on Spotify.[5] Beginning in March 2017, his ÷ Tour became the highest-grossing of all time in August 2019. An alumnus of the National Youth Theatre in London, Sheeran's acting roles include appearing in the 2019 film Yesterday, playing himself. In 2025, Time magazine listed him as one of the world's 100 most influential people.[6]",Male
Elton John,"Sir Elton Hercules John (born Reginald Kenneth Dwight; 25 March 1947)[1] is a British singer, songwriter and pianist. His music and showmanship have had a significant, lasting impact on the music industry,[2] and his songwriting partnership with lyricist Bernie Taupin is one of the most successful in history.[3] John was the 19th EGOT winner in history. He has sold over 300 million records worldwide, making him one of the best-selling music artists of all time.[4]

John learned to play piano at an early age, winning a scholarship to the Royal Academy of Music. In the 1960s, he formed the blues band Bluesology, wrote songs for other artists alongside Taupin, and worked as a session musician, before releasing his debut album, Empty Sky (1969). Throughout the next six decades, John cemented his status as a cultural icon with 32 studio albums, including Honky Château (1972), Goodbye Yellow Brick Road (1973), Rock of the Westies (1975), Sleeping with the Past (1989), The One (1992), Songs from the West Coast (2001), The Diving Board (2013) and The Lockdown Sessions (2021). His catalog of hit singles includes ""Your Song"", ""Tiny Dancer"", ""Rocket Man"", ""Crocodile Rock"", ""Bennie and the Jets"", ""Don't Go Breaking My Heart"", ""I'm Still Standing"", ""Sacrifice"", ""Can You Feel the Love Tonight"" and ""Cold Heart"". He has also had success in musical films and theatre, composing music for The Lion King (1994), Aida (2000), and Billy Elliot the Musical (2005). John's final tour, Farewell Yellow Brick Road (2018–2023), became the highest-grossing tour ever at the time. His life and career were dramatised in the 2019 biopic Rocketman.

John is an HIV/AIDS charity fundraiser and has been involved in the fight against AIDS since the late 1980s.[5][6][7] He established the Elton John AIDS Foundation in 1992, which has raised over £300 million since its inception, and a year later he began hosting his annual AIDS Foundation Academy Awards Party, which has since become one of the biggest high-profile Oscar parties in the Hollywood film industry.[8] John was the chairman and director of Watford Football Club from 1976 to 1987, and again from 1997 to 2002, and is an honorary life president of the club.[9][10] From the late 1970s to the late 1980s, John developed a severe addiction to drugs and alcohol, but has been clean and sober since 1990.[11] In 2005, he entered a civil partnership with his long-term partner, the Canadian filmmaker David Furnish. They married in 2014, when same-sex marriage was legalised in England and Wales.[12]

John has had more than fifty top-40 hits on the UK singles chart and US Billboard Hot 100, including nine number ones in both countries, as well as seven consecutive number-one albums in the US.[13][14] He is the most successful solo artist in the history of the US Billboard charts.[15] His tribute single to Diana, Princess of Wales, ""Candle in the Wind 1997"", a rewritten version of his 1974 single, sold over 33 million copies worldwide and is the best-selling chart single of all time.[16][17][18] In 2021, he became the first solo artist with UK top 10 singles across six decades.[19][20][21] John's awards include an Primetime Emmy Award, five Grammy Awards, two Academy Awards, a Tony Award, two Golden Globe Awards, a Laurence Olivier Award, and the Kennedy Center Honor. He was inducted into the Songwriters Hall of Fame in 1992 and the Rock and Roll Hall of Fame in 1994, and is a fellow of The Ivors Academy. He was appointed Knight Bachelor for services to music and charity in 1998 and was appointed a member of the Order of the Companions of Honour in 2020.[22]",Male
Elvis Presley,"Elvis Aaron Presley[a] (January 8, 1935 – August 16, 1977) was an American singer and actor. Referred to as the ""King of Rock and Roll"", he is regarded as one of the most significant cultural figures of the 20th century. Presley's sexually provocative performance style, combined with a mix of influences across color lines during a transformative era in race relations, brought both great success and initial controversy.

Presley was born in Tupelo, Mississippi; his family relocated to Memphis, Tennessee, when he was 13. He began his music career in 1954 at Sun Records with producer Sam Phillips, who wanted to bring the sound of African-American music to a wider audience. Presley, on guitar and accompanied by lead guitarist Scotty Moore and bassist Bill Black, was a pioneer of rockabilly, an uptempo, backbeat-driven fusion of country music and rhythm and blues. In 1955, drummer D. J. Fontana joined to complete the lineup of Presley's classic quartet and RCA Victor acquired his contract in a deal arranged by Colonel Tom Parker, who managed him for the rest of his career. Presley's first RCA Victor single, ""Heartbreak Hotel"", was released in January 1956 and became a number-one hit in the US. Within a year, RCA Victor sold ten million Presley singles. With a series of successful television appearances and chart-topping records, Presley became the leading figure of the newly popular rock and roll; though his performing style and promotion of the then-marginalized sound of African Americans[6] led to him being widely considered a threat to the moral well-being of white American youth.[7]

In November 1956, Presley made his film debut in Love Me Tender. Drafted into military service in 1958, he relaunched his recording career two years later with some of his most commercially successful work. Presley held few concerts, and, guided by Parker, devoted much of the 1960s to making Hollywood films and soundtrack albums, most of them critically derided. Some of Presley's most famous films included Jailhouse Rock (1957), Blue Hawaii (1961), and Viva Las Vegas (1964). In 1968, he returned to the stage in the acclaimed NBC television comeback special Elvis, which led to an extended Las Vegas concert residency and several highly profitable tours. In 1973, Presley gave the first concert by a solo artist to be broadcast around the world, Aloha from Hawaii. Years of substance abuse and unhealthy eating severely compromised his health, and Presley died in August 1977 at his Graceland estate at the age of 42.

Presley is one of the best-selling music artists in history, having sold an estimated 500 million records worldwide.[b] He was commercially successful in many genres, including pop, country, rock and roll, rockabilly, rhythm and blues, adult contemporary, and gospel. He won three Grammy Awards, received the Grammy Lifetime Achievement Award at age 36, and has been posthumously inducted into multiple music halls of fame. He holds several records, including the most RIAA-certified gold and platinum albums, the most albums charted on the Billboard 200, the most number-one albums by a solo artist on the UK Albums Chart, and the most number-one singles by any act on the UK Singles Chart. In 2018, Presley was posthumously awarded the Presidential Medal of Freedom.",Male
Frank Sinatra,"Francis Albert Sinatra (/sɪˈnɑːtrə/; December 12, 1915 – May 14, 1998) was an American singer and actor. Nicknamed the ""Chairman of the Board"" and ""Ol' Blue Eyes"", he is regarded as one of the most popular entertainers of the 20th century.[1] Sinatra is among the world's best-selling music artists, with an estimated 150 million record sales globally.[2][3]

Born to Italian immigrants in Hoboken, New Jersey, Sinatra began his musical career in the swing era and was influenced by the easy-listening vocal style of Bing Crosby.[4] He joined the Harry James band as the vocalist in 1939 before finding success as a solo artist after signing with Columbia Records in 1943, becoming the idol of the ""bobby soxers"". In 1946, Sinatra released his debut album, The Voice of Frank Sinatra. He then signed with Capitol Records and released several albums with arrangements by Nelson Riddle, notably In the Wee Small Hours (1955) and Songs for Swingin' Lovers! (1956). In 1960, Sinatra left Capitol Records to start his own record label, Reprise Records, releasing a string of successful albums. He collaborated with Count Basie on Sinatra-Basie: An Historic Musical First (1962) and It Might as Well Be Swing (1964). In 1965, he recorded September of My Years and starred in the Emmy-winning television special Frank Sinatra: A Man and His Music. After releasing Sinatra at the Sands in 1966, Sinatra recorded one of his most famous collaborations with Tom Jobim, Francis Albert Sinatra & Antonio Carlos Jobim. It was followed by 1968's Francis A. & Edward K. with Duke Ellington. Sinatra retired in 1971 following the release of ""My Way"" but came out of retirement two years later. He recorded several albums and released ""New York, New York"" in 1980.

Sinatra also forged a highly successful acting career. After winning the Academy Award for Best Supporting Actor for From Here to Eternity (1953), he starred in The Man with the Golden Arm (1955) and The Manchurian Candidate (1962). Sinatra also appeared in musicals such as On the Town (1949), Guys and Dolls (1955), High Society (1956), and Pal Joey (1957), which won him a Golden Globe Award. Toward the end of his career, he frequently played detectives, including the title character in Tony Rome (1967). Sinatra received the Golden Globe Cecil B. DeMille Award in 1971. On television, The Frank Sinatra Show began on CBS in 1950, and he continued to make appearances on television throughout the 1950s and 1960s.

Sinatra was recognized at the Kennedy Center Honors in 1983, awarded the Presidential Medal of Freedom in 1985, and received the Congressional Gold Medal in 1997. Sinatra received eleven Grammy Awards, including the Grammy Trustees Award, Grammy Legend Award, and the Grammy Lifetime Achievement Award. American music critic Robert Christgau called him ""the greatest singer of the 20th century""[5] and he continues to be regarded as an iconic figure.[6]",Male
George Michael,"George Michael (born Georgios Kyriacos Panayiotou; 25 June 1963 – 25 December 2016) was an English singer-songwriter and record producer. Regarded as a pop culture icon,[2] he is one of the best-selling recording artists of all time. Michael was known as a creative force in songwriting,[3] vocal performance,[4] and visual presentation.[5][6] He was inducted into the Rock and Roll Hall of Fame in 2023.[7]

Born in East Finchley, Middlesex, Michael rose to fame after forming the pop duo Wham! with Andrew Ridgeley in 1981. He took part in Band Aid's UK number-one single ""Do They Know It's Christmas?"" in 1984 and performed at the following year's Live Aid concert. His debut studio album, Faith (1987), won the Grammy Award for Album of the Year and became one of the best-selling albums of all time, having sold over 25 million copies worldwide. Michael then went on to release a series of multimillion-selling albums, including Listen Without Prejudice Vol. 1 (1990), Older (1996), Ladies & Gentlemen: The Best of George Michael (1998), Songs from the Last Century (1999), Patience (2004), and Twenty Five (2006).

Michael came out as gay in 1998, and was an active LGBT rights campaigner and HIV/AIDS charity fundraiser. His personal life, drug use, and legal troubles made headlines following an arrest for public lewdness in 1998 and multiple drug-related offences. The 2005 documentary A Different Story covered his career and personal life. His 25 Live tour spanned three tours from 2006 to 2008. In 2011, Michael fell into a coma during a bout with pneumonia, but recovered. He performed his final concert at London's Earls Court in 2012. Michael died of heart disease on Christmas Day in 2016, at his home in Goring-on-Thames, Oxfordshire.

Michael scored 10 number-one songs on the US Billboard Hot 100 and 13 number-one songs on the UK singles chart. His most successful singles include ""Careless Whisper"", ""A Different Corner"", ""I Knew You Were Waiting (For Me)"", ""Faith"", ""Father Figure"", ""One More Try"", ""Monkey"", ""Praying for Time"", ""Freedom! '90"", ""Jesus to a Child"", ""Fastlove"", ""Outside"", ""Amazing"", and ""An Easier Affair"". He won numerous music awards, including two Grammy Awards, three Brit Awards, twelve Billboard Music Awards, and four MTV Video Music Awards. He was listed among Rolling Stone's 200 Greatest Singers of All Time and Billboard's Greatest Hot 100 Artists of All Time. The Radio Academy named him the most played artist on British radio during the period 1984–2004.[8]",Male
Jay-Z,"Shawn Corey Carter (born December 4, 1969), known professionally as Jay-Z,[a] is an American rapper, businessman, and record executive. Rooted in East Coast hip-hop, he was named the greatest rapper of all time by Billboard and Vibe in 2023.[8] Known for his complex lyrical ability—which often uses double entendres and word play—and braggadocio, his music is built upon a rags to riches narrative. He served as president and chief executive officer of Def Jam Recordings from 2004 to 2007, and founded the entertainment company Roc Nation the following year.[9]

A protégé of fellow New York City-based rapper Jaz-O, Jay-Z began his musical career in the late 1980s; he co-founded the record label Roc-A-Fella Records in 1994 to release his first two studio albums Reasonable Doubt (1996) and In My Lifetime, Vol. 1 (1997), both of which were met with critical acclaim. Each of his eleven subsequent albums, including The Blueprint (2001), The Black Album (2003), American Gangster (2007), and 4:44 (2017), debuted atop the Billboard 200; Jay-Z holds the joint-record for the most number-one albums (14) of any solo artist on the chart (tied with Drake and Taylor Swift).[10][11][12][13] He has also released the collaborative albums The Best of Both Worlds (2002) and Unfinished Business (2004) with singer R. Kelly,[14] Collision Course (2004) with Linkin Park, Watch the Throne (2011) with Kanye West, and Everything Is Love (2018) with his wife Beyoncé.[15] He peaked the Billboard Hot 100 on four occasions: once as a lead artist with his 2009 single ""Empire State of Mind"" (featuring Alicia Keys), and thrice with his guest performances on the singles ""Heartbreaker"" by Mariah Carey, ""Crazy in Love"" by Beyoncé, and ""Umbrella"" by Rihanna.[16]

Through his business ventures, Jay-Z became the first hip-hop billionaire in 2019.[17][18] In 1999, he co-founded the clothing retailer Rocawear[19] and later founded the 40/40 Club, a luxury bar chain, in 2003. As both grew into multi-million-dollar businesses, he launched Roc Nation, a multi-disciplinary entertainment agency in 2008. In 2015, he acquired the technology company Aspiro and led the expansion of Tidal, the company's media streaming service.[20][21][22] As of May 2025, he is the wealthiest musical artist in the world with a net worth of US$2.5 billion.[23]

One of the world's best-selling music artists with 140 million records sold, Jay-Z has won 25 Grammy Awards, the eighth-most of all time and the most awarded for any hip-hop artist.[24] He is the recipient of the NAACP's President's Award and three Emmy Awards (including two Primetime Emmy Awards), in addition to being nominated for a Tony Award. Ranked by Billboard and Rolling Stone as one of the 100 greatest artists of all time,[25][26] Jay-Z was the first rapper to be inducted into the Songwriters Hall of Fame[27] and the first solo living rapper inducted in the Rock and Roll Hall of Fame. Time named him one of the 100 most influential people in the world in 2013.[28]",Male
